sample : 50.000, Occurrence : 131, Percentage : 13.100%
sample : 60.000, Occurrence : 043, Percentage : 4.300%
sample : 70.000, Occurrence : 008, Percentage : 0.800%
sample : 80.000, Occurrence : 010, Percentage : 1.000%
sample : 90.000, Occurrence : 004, Percentage : 0.400%
sample : 100.000, Occurrence : 004, Percentage : 0.400%
sample : 310.000, Occurrence : 110, Percentage : 11.000%
sample : 320.000, Occurrence : 101, Percentage : 10.100%
sample : 330.000, Occurrence : 074, Percentage : 7.400%
sample : 340.000, Occurrence : 070, Percentage : 7.000%
sample : 350.000, Occurrence : 068, Percentage : 6.800%
sample : 360.000, Occurrence : 043, Percentage : 4.300%
sample : 370.000, Occurrence : 051, Percentage : 5.100%
sample : 380.000, Occurrence : 028, Percentage : 2.800%
sample : 390.000, Occurrence : 034, Percentage : 3.400%
sample : 400.000, Occurrence : 023, Percentage : 2.300%
sample : 410.000, Occurrence : 028, Percentage : 2.800%
sample : 420.000, Occurrence : 014, Percentage : 1.400%
sample : 430.000, Occurrence : 019, Percentage : 1.900%
sample : 440.000, Occurrence : 012, Percentage : 1.200%
sample : 450.000, Occurrence : 012, Percentage : 1.200%
sample : 460.000, Occurrence : 012, Percentage : 1.200%
sample : 470.000, Occurrence : 005, Percentage : 0.500%
sample : 480.000, Occurrence : 010, Percentage : 1.000%
sample : 490.000, Occurrence : 013, Percentage : 1.300%
sample : 500.000, Occurrence : 006, Percentage : 0.600%
sample : 510.000, Occurrence : 004, Percentage : 0.400%
sample : 520.000, Occurrence : 006, Percentage : 0.600%
sample : 530.000, Occurrence : 009, Percentage : 0.900%
sample : 540.000, Occurrence : 007, Percentage : 0.700%
sample : 550.000, Occurrence : 002, Percentage : 0.200%
sample : 560.000, Occurrence : 003, Percentage : 0.300%
sample : 570.000, Occurrence : 005, Percentage : 0.500%
sample : 580.000, Occurrence : 003, Percentage : 0.300%
sample : 590.000, Occurrence : 001, Percentage : 0.100%
sample : 600.000, Occurrence : 003, Percentage : 0.300%
sample : 610.000, Occurrence : 002, Percentage : 0.200%
sample : 620.000, Occurrence : 003, Percentage : 0.300%
sample : 630.000, Occurrence : 002, Percentage : 0.200%
sample : 640.000, Occurrence : 003, Percentage : 0.300%
sample : 660.000, Occurrence : 002, Percentage : 0.200%
sample : 690.000, Occurrence : 001, Percentage : 0.100%
sample : 720.000, Occurrence : 001, Percentage : 0.100%
sample : 730.000, Occurrence : 001, Percentage : 0.100%
sample : 780.000, Occurrence : 001, Percentage : 0.100%
sample : 830.000, Occurrence : 001, Percentage : 0.100%
sample : 840.000, Occurrence : 001, Percentage : 0.100%
sample : 850.000, Occurrence : 001, Percentage : 0.100%
sample : 920.000, Occurrence : 001, Percentage : 0.100%
sample : 930.000, Occurrence : 001, Percentage : 0.100%
sample : 980.000, Occurrence : 001, Percentage : 0.100%
sample : 1080.000, Occurrence : 001, Percentage : 0.100%
sample : 1090.000, Occurrence : 001, Percentage : 0.100%
