sample : 50.000, Occurrence : 132, Percentage : 13.200%
sample : 60.000, Occurrence : 042, Percentage : 4.200%
sample : 70.000, Occurrence : 010, Percentage : 1.000%
sample : 80.000, Occurrence : 008, Percentage : 0.800%
sample : 90.000, Occurrence : 003, Percentage : 0.300%
sample : 110.000, Occurrence : 003, Percentage : 0.300%
sample : 120.000, Occurrence : 001, Percentage : 0.100%
sample : 150.000, Occurrence : 001, Percentage : 0.100%
sample : 310.000, Occurrence : 107, Percentage : 10.700%
sample : 320.000, Occurrence : 094, Percentage : 9.400%
sample : 330.000, Occurrence : 077, Percentage : 7.700%
sample : 340.000, Occurrence : 085, Percentage : 8.500%
sample : 350.000, Occurrence : 069, Percentage : 6.900%
sample : 360.000, Occurrence : 055, Percentage : 5.500%
sample : 370.000, Occurrence : 028, Percentage : 2.800%
sample : 380.000, Occurrence : 030, Percentage : 3.000%
sample : 390.000, Occurrence : 033, Percentage : 3.300%
sample : 400.000, Occurrence : 026, Percentage : 2.600%
sample : 410.000, Occurrence : 028, Percentage : 2.800%
sample : 420.000, Occurrence : 019, Percentage : 1.900%
sample : 430.000, Occurrence : 016, Percentage : 1.600%
sample : 440.000, Occurrence : 014, Percentage : 1.400%
sample : 450.000, Occurrence : 010, Percentage : 1.000%
sample : 460.000, Occurrence : 014, Percentage : 1.400%
sample : 470.000, Occurrence : 007, Percentage : 0.700%
sample : 480.000, Occurrence : 013, Percentage : 1.300%
sample : 490.000, Occurrence : 012, Percentage : 1.200%
sample : 500.000, Occurrence : 008, Percentage : 0.800%
sample : 510.000, Occurrence : 002, Percentage : 0.200%
sample : 520.000, Occurrence : 004, Percentage : 0.400%
sample : 530.000, Occurrence : 003, Percentage : 0.300%
sample : 540.000, Occurrence : 006, Percentage : 0.600%
sample : 550.000, Occurrence : 003, Percentage : 0.300%
sample : 560.000, Occurrence : 003, Percentage : 0.300%
sample : 570.000, Occurrence : 003, Percentage : 0.300%
sample : 580.000, Occurrence : 002, Percentage : 0.200%
sample : 590.000, Occurrence : 002, Percentage : 0.200%
sample : 600.000, Occurrence : 001, Percentage : 0.100%
sample : 610.000, Occurrence : 001, Percentage : 0.100%
sample : 620.000, Occurrence : 003, Percentage : 0.300%
sample : 630.000, Occurrence : 003, Percentage : 0.300%
sample : 640.000, Occurrence : 001, Percentage : 0.100%
sample : 660.000, Occurrence : 002, Percentage : 0.200%
sample : 680.000, Occurrence : 002, Percentage : 0.200%
sample : 710.000, Occurrence : 002, Percentage : 0.200%
sample : 730.000, Occurrence : 001, Percentage : 0.100%
sample : 740.000, Occurrence : 001, Percentage : 0.100%
sample : 750.000, Occurrence : 001, Percentage : 0.100%
sample : 760.000, Occurrence : 001, Percentage : 0.100%
sample : 770.000, Occurrence : 001, Percentage : 0.100%
sample : 840.000, Occurrence : 001, Percentage : 0.100%
sample : 880.000, Occurrence : 002, Percentage : 0.200%
sample : 910.000, Occurrence : 001, Percentage : 0.100%
sample : 1140.000, Occurrence : 001, Percentage : 0.100%
sample : 1160.000, Occurrence : 001, Percentage : 0.100%
sample : 1670.000, Occurrence : 001, Percentage : 0.100%
