@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA

59030312,-3.864,-0.078,-9.414,10.17644220737287,sitting
59030321,-3.825,-0.137,-9.414,10.162322077163271,sitting
59030329,-3.825,-0.137,-9.414,10.162322077163271,sitting
59030337,-3.825,-0.177,-9.356,10.109237854556593,sitting
59030346,-3.707,-0.196,-9.356,10.06553530618218,sitting
59030354,-3.707,-0.137,-9.375,10.082224109788473,sitting
59030363,-3.668,-0.177,-9.395,10.087198719168766,sitting
59030371,-3.648,-0.177,-9.414,10.097654628674919,sitting
59030379,-3.648,-0.177,-9.414,10.097654628674919,sitting
59030388,-3.589,-0.137,-9.512,10.167489070562112,sitting
59030396,-3.53,-0.118,-9.473,10.110022403536009,sitting
59030405,-3.53,-0.059,-9.512,10.146059579955168,sitting
59030413,-3.491,-0.078,-9.669,10.28021040640706,sitting
59030421,-3.472,-0.098,-9.669,10.273945152666526,sitting
59030430,-3.472,-0.098,-9.669,10.273945152666526,sitting
59030438,-3.432,-0.137,-9.65,10.243041198784665,sitting
59030447,-3.373,-0.078,-9.65,10.222803578275384,sitting
59030455,-3.354,-0.098,-9.65,10.216722566459364,sitting
59030463,-3.354,-0.137,-9.611,10.180344100274803,sitting
59030472,-3.393,-0.157,-9.571,10.155842604136794,sitting
59030480,-3.393,-0.157,-9.571,10.155842604136794,sitting
59030489,-3.354,-0.177,-9.591,10.162082758962358,sitting
59030497,-3.334,-0.177,-9.571,10.136613142465288,sitting
59030505,-3.354,-0.216,-9.591,10.162836857885695,sitting
59030514,-3.373,-0.177,-9.571,10.149507327944544,sitting
59030522,-3.354,-0.098,-9.611,10.17989395819033,sitting
59030530,-3.354,-0.098,-9.611,10.17989395819033,sitting
59030539,-3.393,-0.02,-9.591,10.173501363837328,sitting
59030547,-3.432,0.0,-9.532,10.13102403511116,sitting
59030556,-3.511,0.02,-9.512,10.139312846539454,sitting
59030564,-3.53,0.0,-9.493,10.128077260763762,sitting
59030572,-3.491,0.02,-9.473,10.09580160264652,sitting
59030581,-3.491,0.02,-9.473,10.09580160264652,sitting
59030589,-3.413,-0.039,-9.473,10.069151851074649,sitting
