Chest	Chest	Chest	Chest	Right Hip	Right Hip	Right Hip	Right Hip	Right Wrist	Right Wrist	Right Wrist	Right Wrist	Right Thigh	Right Thigh	Right Thigh	Right Thigh	Right foot	Right foot	Right foot	Right foot	Lower Back	Lower Back	Lower Back	Lower Back	Annotation	Annotation
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Pulse	Level
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	Boolean	Boolean
1219336.914	-0.870	9.068	1.022	1219602.539	-2.808	7.998	0.122	1220564.453	2.013	8.705	0.146	1219296.875	2.030	9.596	3.037	1220487.305	3.285	9.156	1.324	1219902.344	-3.636	10.629	6.787	0.000	0.000
1219356.445	0.252	8.387	1.217	1219622.070	-1.577	10.588	0.239	1220583.984	2.151	9.807	1.413	1219316.406	1.646	9.183	3.089	1220506.836	3.030	9.057	1.821	1219921.875	-1.906	8.464	5.208	0.000	0.000
1219375.977	0.609	8.314	0.890	1219641.602	-1.346	15.155	3.339	1220603.516	2.328	9.891	0.761	1219335.937	1.835	9.417	2.757	1220526.367	3.079	8.954	0.929	1219941.437	-0.041	7.482	4.292	0.000	0.000
1219395.508	0.613	8.583	1.343	1219661.133	-1.269	15.102	2.298	1220623.047	2.117	10.494	-0.692	1219355.469	1.217	9.716	2.468	1220545.898	3.146	9.283	1.756	1219960.937	-0.278	8.003	4.439	0.000	0.000
1219415.039	0.291	9.311	1.143	1219680.664	-0.154	8.166	0.958	1220642.578	2.506	11.136	-1.194	1219375.000	1.177	9.645	2.348	1220565.430	3.186	9.430	1.765	1219980.469	-0.128	8.223	4.535	0.000	0.000
1219434.570	-0.186	10.190	1.351	1219700.195	-0.500	7.028	0.475	1220662.109	2.068	10.467	-1.847	1219394.531	1.791	9.694	2.159	1220584.961	2.911	9.440	1.576	1220000.000	-0.330	8.929	4.888	0.000	0.000
1219454.102	-0.185	10.421	1.483	1219719.727	-1.115	7.924	0.073	1220681.641	2.100	9.384	-0.885	1219414.062	2.212	9.555	1.996	1220604.492	3.312	9.638	2.045	1220019.531	-1.170	8.567	4.538	0.000	0.000
1219473.633	-0.146	9.729	1.408	1219739.258	-1.115	8.985	0.735	1220701.172	2.337	8.467	-1.262	1219433.594	2.215	9.769	2.278	1220624.023	3.056	9.379	1.301	1220039.062	-1.251	8.827	4.747	0.000	0.000
1219493.164	-0.028	9.615	1.241	1219758.789	0.000	9.273	1.165	1220720.703	4.511	8.737	-1.748	1219453.125	1.750	9.662	1.964	1220643.555	3.171	9.869	1.137	1220058.594	-1.567	9.201	5.190	0.000	0.000
1219512.695	0.131	9.732	1.125	1219778.320	-0.577	9.902	1.204	1220740.234	4.524	9.234	-3.213	1219472.656	1.790	9.585	2.075	1220663.086	2.723	8.669	0.685	1220078.125	-1.333	8.976	5.140	0.000	0.000
