@relation Accelerometer-weka.filters.unsupervised.attribute.Remove-R1

@attribute accX numeric
@attribute accY numeric
@attribute accZ numeric
@attribute accTotal numeric
@attribute label {lying,running,sitting,standing,walking}

@data
0.255,9.571,1.981,9.777189,lying
0.255,9.571,1.981,9.777189,lying
0.353,9.611,1.942,9.81159,lying
0.451,9.532,1.922,9.734296,lying
0.608,9.532,2.059,9.770781,lying
0.608,9.512,2.177,9.776867,lying
0.53,9.532,1.902,9.734348,lying
0.53,9.532,1.902,9.734348,lying
0.608,9.532,1.608,9.685781,lying
0.628,9.532,1.51,9.671272,lying
0.588,9.552,1.373,9.66807,lying
0.745,9.611,1.353,9.734318,lying
0.745,9.669,1.432,9.802816,lying
0.745,9.669,1.432,9.802816,lying
0.785,9.787,1.314,9.905967,lying
0.843,9.807,1.177,9.913285,lying
0.745,9.748,1.255,9.85665,lying
0.785,9.767,1.314,9.886208,lying
0.745,9.826,1.236,9.931415,lying
0.765,9.826,1.393,9.95369,lying
0.765,9.826,1.393,9.95369,lying
0.53,9.767,1.765,9.939337,lying
0.314,9.689,1.844,9.86791,lying
0.275,9.689,1.785,9.85589,lying
0.235,9.65,1.648,9.792529,lying
0.353,9.63,1.628,9.773019,lying
0.353,9.63,1.628,9.773019,lying
0.765,9.65,1.608,9.812919,lying
0.883,9.767,1.549,9.928413,lying
0.569,9.65,1.491,9.781071,lying
0.196,9.532,1.373,9.632371,lying
-0.078,9.375,1.491,9.493144,lying
-0.078,9.375,1.491,9.493144,lying
-0.078,9.375,1.706,9.529278,lying
-0.118,9.395,1.706,9.549366,lying
-0.49,9.179,1.412,9.299886,lying
-0.549,9.042,0.961,9.109483,lying
0.098,9.12,0.843,9.159402,lying
0.098,9.12,0.843,9.159402,lying
0.686,9.277,0.843,9.340448,lying
0.922,9.434,0.785,9.511397,lying
1.196,9.512,0.667,9.61007,lying
1,9.414,0.667,9.490431,lying
0.49,9.179,1.02,9.248489,lying
0.49,9.179,1.02,9.248489,lying
0.078,8.924,1.471,9.044761,lying
-0.216,8.748,1.863,8.946783,lying
-0.431,8.551,1.804,8.749844,lying
-0.392,8.649,1.687,8.820705,lying
0,8.846,1.432,8.961157,lying
0,8.846,1.432,8.961157,lying
0.647,9.159,1.196,9.25939,lying
0.843,9.414,1,9.504422,lying
1.275,9.512,0.843,9.634024,lying
1.216,9.571,0.922,9.691893,lying
1.255,9.611,1.079,9.752466,lying
1.118,9.532,1.412,9.700654,lying
1.118,9.532,1.412,9.700654,lying
1.059,9.316,2.02,9.591128,lying
1.432,9.493,2.373,9.889328,lying
1.53,9.63,2.314,10.021596,lying
1.334,9.571,2.138,9.897204,lying
1.098,9.591,1.981,9.854808,lying
1.098,9.591,1.981,9.854808,lying
1.098,9.552,1.981,9.816856,lying
1.412,9.611,2.079,9.934148,lying
1.491,9.552,2.216,9.918389,lying
1.628,9.512,2.334,9.928549,lying
1.667,9.512,2.55,9.987969,lying
1.667,9.512,2.55,9.987969,lying
1.412,9.356,2.667,9.830634,lying
1.255,9.316,2.746,9.793028,lying
1.196,9.297,3.079,9.86635,lying
0.706,9.042,3.687,9.79031,lying
0.02,8.669,4.256,9.657406,lying
0.02,8.669,4.256,9.657406,lying
-0.608,8.277,4.707,9.541187,lying
-0.039,8.453,3.923,9.319048,lying
2.216,9.257,1.883,9.70301,lying
4.746,10.101,0.275,11.163796,lying
5.57,10.532,-0.608,11.929694,lying
5.57,10.532,-0.608,11.929694,lying
5.433,10.356,-1,11.737301,lying
7.335,8.904,0.02,11.536197,lying
5.256,8.806,0.53,10.268986,lying
3.727,7.257,1.079,8.229144,lying
2.491,6.57,1.569,7.199427,lying
2.491,6.57,1.569,7.199427,lying
1.393,6.551,2.275,7.073307,lying
0.294,6.963,3.373,7.742541,lying
-0.373,7.1,4.648,8.494294,lying
-0.157,7.12,5.433,8.957485,lying
0.628,7.218,5.492,9.091533,lying
2.197,7.865,5.06,9.606697,lying
1.981,7.865,5.06,9.559612,lying
3.099,8.669,5.06,10.505187,lying
3.295,9.414,5.217,11.255999,lying
2.765,10.12,5.551,11.869003,lying
2.099,10.65,5.825,12.319047,lying
-1.726,10.179,-1.314,10.40758,lying
-1.726,10.179,-1.314,10.40758,lying
-3.079,10.964,-1.863,11.539511,lying
0.628,10.885,-0.745,10.928524,lying
2.216,8.885,3.825,9.923936,lying
3.511,7.983,5.021,10.063094,lying
3.628,8.218,5.217,10.388214,lying
3.628,8.218,5.217,10.388214,lying
2.922,8.649,5.609,10.714671,lying
2.51,8.414,5.786,10.515384,lying
3.236,7.571,5.786,10.063276,lying
3.962,6.394,6.217,9.758677,lying
5.198,5.786,6.061,9.860665,lying
5.198,5.786,6.061,9.860665,lying
6.1,5.962,5.786,10.306951,lying
7.1,6.649,6.355,11.619175,lying
8.061,7.394,7.904,13.495339,lying
8.061,7.571,8.669,14.051737,lying
8.375,8.277,7.492,13.95634,lying
8.375,8.277,7.492,13.95634,lying
8.944,9.709,3.903,13.765654,lying
8.453,11.886,0.098,14.585603,lying
6.315,14.239,-2.864,15.83764,lying
4.531,15.593,-3.589,16.629869,lying
3.785,14.73,-0.49,15.216413,lying
3.785,14.73,-0.49,15.216413,lying
4.884,12.062,3.001,13.354823,lying
5.492,9.414,4.884,11.943154,lying
5.296,7.688,3.982,10.149349,lying
5.158,7.1,0.431,8.786394,lying
5.139,7.375,-3.158,9.527482,lying
4.884,7.806,-5.845,10.906471,lying
4.884,7.806,-5.845,10.906471,lying
3.805,8.218,-7.1,11.507543,lying
2.177,8.198,-7.335,11.213775,lying
1.216,8.002,-7.159,10.805644,lying
0.451,7.414,-6.217,9.68617,lying
-0.235,6.492,-5.845,8.738725,lying
-0.235,6.492,-5.845,8.738725,lying
-1.216,6.198,-4.001,7.476755,lying
-2.471,6.649,-3.766,8.031052,lying
-4.197,7.394,-4.688,9.708933,lying
-6.159,8.041,-3.746,10.799235,lying
-8.14,8.1,-2.824,11.82559,lying
-8.14,8.1,-2.824,11.82559,lying
-8.1,7.571,-4.393,11.925959,lying
-7.218,7.708,-6.139,12.21475,lying
-5.982,9.454,-7.041,13.218855,lying
-5.864,10.081,-6.198,13.207129,lying
-6.178,9.571,-3.354,11.875228,lying
-6.178,9.571,-3.354,11.875228,lying
-6.139,8.571,-0.078,10.543028,lying
-5.766,7.492,-0.059,9.454116,lying
-5.217,6.747,-0.412,8.538667,lying
